Xt,Lemda
0.062583811,0.000642053
0.062690946,0.000644181
0.062799096,0.000647135
0.062922558,0.000658058
0.063161349,0.000666779
0.063543576,0.000666955
0.063753358,0.000669907
0.063815068,0.000675067
0.06448146,0.000676578
0.064560607,0.000684587
0.064575368,0.00069106
0.065078323,0.000692573
0.066464536,0.000705252
0.066740616,0.000712576
0.066840069,0.000719193
0.067165938,0.000730447
0.067166856,0.00073414
0.067309173,0.000753711
0.067532527,0.000758152
0.068177923,0.000771952
0.06843125,0.000773869
0.068525036,0.000779206
0.068893827,0.000781162
0.069110453,0.000783832
0.069636468,0.000792823
0.06984313,0.000793118
0.070425009,0.00079675
0.070459464,0.000796855
0.070676427,0.00080206
0.070989088,0.000810789
0.071162533,0.000814998
0.071363687,0.000823045
0.071513576,0.000829866
0.071524656,0.000843476
0.071942926,0.000849042
0.072112986,0.000849784
0.072199829,0.000863646
0.072370068,0.000863876
0.072442368,0.000865736
0.0729433,0.000883295
0.073464606,0.00089428
0.073841434,0.000897312
0.074077146,0.000904354
0.074838889,0.000908207
0.075190396,0.0009084
0.075368344,0.000915205
0.075414617,0.000916222
0.075473727,0.000917539
0.075929798,0.000924976
0.076137945,0.000929184
0.077858917,0.000933912
0.078612284,0.000946957
0.079039606,0.000951367
0.079056391,0.000953228
0.079194611,0.00096362
0.080297642,0.000963657
0.080827182,0.000966138
0.081184113,0.00097466
0.081526161,0.000977108
0.081625832,0.000982559
0.082212079,0.001003972
0.08426495,0.001020837
0.084765054,0.001030269
0.084775199,0.001045371
0.084860537,0.001056397
0.085154765,0.00105732
0.085479477,0.001057422
0.085603784,0.001057604
0.085658641,0.001061012
0.085737848,0.001062222
0.086161766,0.001074523
0.086216811,0.001074867
0.086343225,0.001094494
0.08697058,0.001095389
0.087253754,0.001097901
0.087934153,0.001103303
0.08843091,0.001108079
0.088528361,0.001114745
0.088675103,0.001123088
0.089331232,0.001130008
0.089654061,0.001182242
0.089960645,0.001193518
0.090270831,0.001204187
0.090611899,0.001212644
0.090619777,0.001218177
0.090800442,0.00122364
0.090932405,0.001242162
0.09101351,0.001260136
0.091151257,0.001274052
0.091169243,0.001275624
0.09202253,0.001283264
0.092057867,0.001284103
0.092062562,0.001308385
0.093175668,0.001308406
0.093539686,0.001316553
0.093556083,0.001318498
0.093679473,0.001324762
0.093796561,0.001341172
0.093957747,0.001346775
0.094048363,0.001354933
0.094513187,0.001357534
0.094677002,0.001361995
0.094975556,0.001388855
0.095104137,0.001391904
0.095541841,0.001398424
0.095685295,0.001398506
0.096218881,0.001414422
0.096286933,0.001417824
0.096552103,0.001425872
0.097039394,0.001427596
0.09704096,0.001433248
0.097234208,0.00144713
0.097839158,0.001450036
0.09788759,0.001478415
0.098553266,0.001484369
0.098671599,0.00148881
0.099019571,0.001505356
0.099033624,0.00150921
0.099113756,0.001531992
0.099325622,0.001535526
0.099537018,0.001541271
0.099860837,0.001550948
0.100015355,0.001555601
0.100146633,0.001569261
0.10051912,0.001574572
0.10092522,0.001583732
0.100962363,0.001591251
0.101389603,0.001610665
0.101397182,0.001612985
0.102042052,0.001617129
0.102109098,0.001630004
0.102172918,0.001635906
0.102219079,0.001638931
0.102534954,0.001641322
0.102791399,0.001648739
0.102845385,0.001650314
0.10301732,0.001675439
0.10381974,0.001676793
0.103864496,0.00168137
0.103965144,0.001683395
0.104243246,0.001691436
0.105090952,0.001705514
0.105362851,0.001707735
0.105382878,0.001711134
0.106005346,0.001712049
0.106307072,0.00171732
0.106588674,0.001729199
0.107405867,0.001734214
0.108215148,0.001736426
0.108561675,0.001754263
0.108646038,0.001765308
0.108804753,0.00176631
0.10891439,0.001770039
0.109183249,0.001808113
0.109186858,0.001811874
0.109196623,0.001824447
0.109377582,0.001824581
0.10952499,0.001830107
0.109607376,0.001837663
0.110055936,0.001863823
0.110177627,0.001897258
0.110663539,0.001906003
0.1109795,0.001909087
0.111079559,0.001930907
0.111683253,0.001967072
0.111869513,0.001975295
0.112006701,0.001976625
0.112035713,0.00199049
0.112244051,0.001991476
0.112541035,0.00200819
0.112603531,0.002011067
0.112703341,0.002029233
